business_unit	source_metric	target_type	target_name	target_ref	note
Спб	Маржинальный доход	calculated_formula	Расчетная выручка периода - Итого переменные расходы	Расчетная выручка периода (по реализации) - Итого переменные расходы	
Спб	% переменных расходов к выручке	calculated_formula	Итого переменные расходы / Расчетная выручка периода	Итого переменные расходы / Расчетная выручка периода (по реализации)	
Спб	Маркетинг  	pnl_article	Маркетинг и реклама	expense/Расходы/Маркетинг и реклама	
Спб	Контекстная реклама_ведение_ритейл			
Спб	Контекст_бюджет_ритейл			
Спб	Инстаграм_ведение			
Спб	Размещение у блогеров, афишах, дзене, паблики			
Спб	PR			
Спб	Кросс-промо и  SEO			
Спб	Прочие расходы на рекламу			
Спб	Итого расходы на маркетинг	calculated_formula	Сумма маркетинговых расходов СПб	Сумма строк блока Маркетинг СПб	
Спб	% к марже	calculated_formula	Итого расходы на маркетинг / Маржинальный доход	Итого расходы на маркетинг / Маржинальный доход	
Спб	% к выручке	calculated_formula	Итого расходы на маркетинг / Расчетная выручка периода	Итого расходы на маркетинг / Расчетная выручка периода (по реализации)	
Спб	%з/п исполнителей в бюджете на маркетинг от всего маркетинга	calculated_formula	Маркетинговые расходы на исполнителей / Итого расходы на маркетинг	Выделенные строки ведения / Итого расходы на маркетинг	
Спб	Постоянные расходы	calculated_formula	Сумма постоянных расходов СПб	Сумма строк блока постоянных расходов СПб	
Спб	Аренда помещения и коммуналка	pnl_article	Аренда и коммуналка	expense/Расходы/Помещение и офис/Аренда и коммуналка	
Спб	ЗП  худрука, админов  и ХПЧ	pnl_article	Административный персонал ФОТ	expense/Расходы/ФОТ/Административный персонал ФОТ	
Спб	ЗП директор фикс	pnl_article	Управленческий персонал ФОТ	expense/Расходы/ФОТ/Управленческий персонал ФОТ	
Спб	Разработка и IT			
Спб	Подарки			
Спб	Уборка помещения	pnl_article	Уборка	expense/Расходы/Помещение и офис/Уборка	
Спб	Ремонт помещения	pnl_article	Ремонт и обслуживание	expense/Расходы/Помещение и офис/Ремонт и обслуживание	
Спб	Хоз.расходы на помещение	pnl_article	Расходники (офисные)	expense/Расходы/Помещение и офис/Расходники (офисные)	
Спб	Расходы на проведение спектаклей	pnl_article	Для спектаклей	expense/Расходы/Для спектаклей	
Спб	Реквизит для проведения спектаклей	pnl_article	Реквизит/костюмы	expense/Расходы/Для спектаклей/Реквизит/костюмы	
Спб	Электронные  и бухгалтерские сервисы	pnl_article	Сервисы и их настройка	expense/Расходы/Сервисы и их настройка	
Спб	Итого постоянные расходы	calculated_formula	Сумма постоянных расходов СПб	Сумма строк блока постоянных расходов СПб	
Спб	%постоянных расходов к выручке	calculated_formula	Итого постоянные расходы / Расчетная выручка периода	Итого постоянные расходы / Расчетная выручка периода (по реализации)	
Спб	Прибыль до выплаты акционерам,развития и % директора	calculated_formula	Маржинальный доход - Итого расходы на маркетинг - Итого постоянные расходы	Маржинальный доход - маркетинг - постоянные расходы	
Спб	ИТОГОВАЯ ПРИБЫЛЬ ПО НАПРАВЛЕНИЯМ	calculated_formula	Сумма прибыли по направлениям СПб	Прибыль_театр Петербург + Прибыль_корпоратив Петербург	Управленческая строка уровня направления
Москва	Прибыль_театр Москва	calculated_formula	Прибыль театрального направления Москва	Расчетная выручка периода Москва - переменные - маркетинг - постоянные - инвестиции	Управленческий расчёт
Спб	Прибыль_театр Петербург	calculated_formula	Прибыль театрального направления Петербург	Расчетная выручка периода СПб - переменные - маркетинг - постоянные	Управленческий расчёт
Франшиза	Прибыль_франшиза	calculated_formula	Прибыль направления франшиза	Франшиза_тотал - затраты франшизы	Управленческий расчёт
Франшиза	Прибыль_Китай	calculated_formula	Прибыль направления Китай	Франшиза Китай - Затраты франшиза Китай	Управленческий расчёт
B2B	Прибыль_корпоратив Москва	calculated_formula	Прибыль корпоративного направления Москва	Спецпроекты_корпоративы Москва - связанные расходы B2B	Управленческий расчёт
B2B	Прибыль_корпоратив Петербург	calculated_formula	Прибыль корпоративного направления Петербург	Спецпроекты_корпоративы СПб - связанные расходы B2B	Управленческий расчёт
B2B	Прибыль_корпоратив общая	calculated_formula	Сумма корпоративной прибыли	Прибыль_корпоратив Москва + Прибыль_корпоратив Петербург	Агрегация
Общее	Общая прибыль	calculated_formula	Сумма прибыли по направлениям	Прибыль_театр Москва + Прибыль_театр Петербург + Прибыль_франшиза + Прибыль_Китай + Прибыль_корпоратив Москва + Прибыль_корпоратив Петербург + Прибыль_корпоратив общая	
Общее	Директорский процент	calculated_formula	Сумма процентов директора по направлениям	Театр Москва + Театр Петербург + Корпоратив + Франшиза + Китай	
Москва	Театр Москва	calculated_formula	Директорский процент по театру Москва	Прибыль_театр Москва * business_rule	Нужен agreed процент
Спб	Театр Петербург	calculated_formula	Директорский процент по театру Петербург	Прибыль_театр Петербург * business_rule	Нужен agreed процент
B2B	Корпоратив	calculated_formula	Директорский процент по корпоративам	Прибыль_корпоратив общая * business_rule	Нужен agreed процент
Франшиза	Франшиза 	calculated_formula	Директорский процент по франшизе	Прибыль_франшиза * business_rule	Нужен agreed процент
Франшиза	Китай	calculated_formula	Директорский процент по Китаю	Прибыль_Китай * business_rule	Нужен agreed процент
Общее	Итого, процент директора	calculated_formula	Сумма процентов директора по направлениям	Театр Москва + Театр Петербург + Корпоратив + Франшиза + Китай	
	Годовые бонусы			
Общее	Прибыль для основателей	calculated_formula	Общая прибыль - Итого, процент директора - Годовые бонусы	Общая прибыль - Итого, процент директора - Годовые бонусы	
Общее	Рентабельность общая после выплаты основателям:	calculated_formula	Прибыль для основателей / Расчетная выручка периода	Прибыль для основателей / Расчетная выручка периода (по реализации)	
Франшиза	Прибыль от европейской франшизы	calculated_formula	Подмножество прибыли франшизы	Европейская франшиза: доходы - расходы	Требует отдельной декомпозиции направления
Общее	Снятие наличных/перевод на карту для ПСН			
Общее	Комиссия за снятие наличных / налоги на ИП			
Общее	Входящий остаток на начало периода,  1 число месяца			
Общее	Входящий остаток на конец периода, 1 число месяца			
Общее	Сальдо	calculated_formula	Входящий остаток на конец периода - Входящий остаток на начало периода	Входящий остаток на конец периода, 1 число месяца - Входящий остаток на начало периода, 1 число месяца	
Общее	Вывод для ПСН (депозитный счет):			
