status,period_start,source_row_number,source_business_unit,source_label,canonical_metric,business_unit,show,channel,agent,cell_a1,value_raw,value_numeric,reason
inserted,2024-01-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1714683,1714683,
inserted,2024-02-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1605998,1605998,
inserted,2024-03-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1080944,1080944,
inserted,2024-04-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,787123,787123,
inserted,2024-05-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,508161,508161,
inserted,2024-06-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1214399,1214399,
inserted,2024-07-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,616092,616092,
inserted,2024-08-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,673896,673896,
inserted,2024-09-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,413332,413332,
inserted,2024-10-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1179394,1179394,
inserted,2024-11-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1104012,1104012,
inserted,2024-12-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1175106,1175106,
inserted,2025-01-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1693041,1693041,
inserted,2025-02-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,988903,988903,
inserted,2025-03-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,950725,950725,
inserted,2024-05-01,,b2c_spb,,Net profit,b2c_spb,,,,,-320883,-320883,
inserted,2024-06-01,,b2c_spb,,Net profit,b2c_spb,,,,,410317,410317,
inserted,2024-07-01,,b2c_spb,,Net profit,b2c_spb,,,,,352219,352219,
inserted,2024-08-01,,b2c_spb,,Net profit,b2c_spb,,,,,363133,363133,
inserted,2024-09-01,,b2c_spb,,Net profit,b2c_spb,,,,,131245,131245,
inserted,2024-10-01,,b2c_spb,,Net profit,b2c_spb,,,,,194417,194417,
inserted,2024-11-01,,b2c_spb,,Net profit,b2c_spb,,,,,390366,390366,
inserted,2024-12-01,,b2c_spb,,Net profit,b2c_spb,,,,,330824,330824,
inserted,2025-01-01,,b2c_spb,,Net profit,b2c_spb,,,,,521562,521562,
inserted,2025-02-01,,b2c_spb,,Net profit,b2c_spb,,,,,489697,489697,
inserted,2025-03-01,,b2c_spb,,Net profit,b2c_spb,,,,,545751,545751,
inserted,2023-01-01,,franchise,,Net profit,franchise,,,,,905359,905359,
inserted,2023-02-01,,franchise,,Net profit,franchise,,,,,250000,250000,
inserted,2023-03-01,,franchise,,Net profit,franchise,,,,,-19060,-19060,
inserted,2023-04-01,,franchise,,Net profit,franchise,,,,,-58036,-58036,
inserted,2023-05-01,,franchise,,Net profit,franchise,,,,,957200,957200,
inserted,2023-06-01,,franchise,,Net profit,franchise,,,,,-51425,-51425,
inserted,2023-07-01,,franchise,,Net profit,franchise,,,,,-10001,-10001,
inserted,2023-08-01,,franchise,,Net profit,franchise,,,,,4000,4000,
inserted,2023-09-01,,franchise,,Net profit,franchise,,,,,167272,167272,
inserted,2023-10-01,,franchise,,Net profit,franchise,,,,,996795,996795,
inserted,2023-11-01,,franchise,,Net profit,franchise,,,,,-48851,-48851,
inserted,2023-12-01,,franchise,,Net profit,franchise,,,,,-6570,-6570,
inserted,2024-01-01,,franchise,,Net profit,franchise,,,,,-15000,-15000,
inserted,2024-03-01,,franchise,,Net profit,franchise,,,,,-20000,-20000,
inserted,2024-06-01,,franchise,,Net profit,franchise,,,,,48150,48150,
inserted,2024-09-01,,franchise,,Net profit,franchise,,,,,13696,13696,
inserted,2024-10-01,,franchise,,Net profit,franchise,,,,,112350,112350,
inserted,2024-11-01,,franchise,,Net profit,franchise,,,,,185724,185724,
inserted,2024-12-01,,franchise,,Net profit,franchise,,,,,2035063,2035063,
inserted,2025-01-01,,franchise,,Net profit,franchise,,,,,0,0,
inserted,2025-02-01,,franchise,,Net profit,franchise,,,,,0,0,
inserted,2025-03-01,,franchise,,Net profit,franchise,,,,,107000,107000,
inserted,2023-04-01,,b2b,,Other expenses,b2b,,,,,495075,495075,
inserted,2023-09-01,,b2b,,Other expenses,b2b,,,,,58500,58500,
inserted,2023-10-01,,b2b,,Other expenses,b2b,,,,,122000,122000,
inserted,2024-03-01,,b2b,,Other expenses,b2b,,,,,89500,89500,
inserted,2024-05-01,,b2b,,Other expenses,b2b,,,,,48000,48000,
inserted,2024-11-01,,b2b,,Other expenses,b2b,,,,,413000,413000,
inserted,2024-12-01,,b2b,,Other expenses,b2b,,,,,980000,980000,
inserted,2025-01-01,,b2b,,Other expenses,b2b,,,,,63000,63000,
inserted,2025-03-01,,b2b,,Other expenses,b2b,,,,,1328000,1328000,
inserted,2024-12-01,,franchise,,Other expenses,franchise,,,,,170750,170750,
inserted,2022-03-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,30000,30000,
inserted,2022-06-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,14500,14500,
inserted,2022-07-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,28121,28121,
inserted,2022-09-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,8100,8100,
inserted,2022-10-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,11120,11120,
inserted,2022-11-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,12392,12392,
inserted,2022-12-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,11455,11455,
inserted,2023-01-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,14825,14825,
inserted,2023-02-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,19540,19540,
inserted,2023-03-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,7000,7000,
inserted,2023-04-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,6600,6600,
inserted,2023-05-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,6600,6600,
inserted,2023-07-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,15100,15100,
inserted,2023-08-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,3805,3805,
inserted,2023-09-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,21250,21250,
inserted,2023-10-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,50000,50000,
inserted,2023-11-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,20250,20250,
inserted,2023-12-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,67700,67700,
inserted,2024-01-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,3375,3375,
inserted,2024-02-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,17725,17725,
inserted,2024-03-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,213446,213446,
inserted,2024-04-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,10471,10471,
inserted,2024-05-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,20400,20400,
inserted,2024-06-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,60320,60320,
inserted,2024-07-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,52100,52100,
inserted,2024-08-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,59115,59115,
inserted,2024-09-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,42789,42789,
inserted,2024-10-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,83300,83300,
inserted,2024-11-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,76780,76780,
inserted,2024-12-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,117215,117215,
inserted,2025-01-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,62750,62750,
inserted,2025-02-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,39800,39800,
inserted,2025-03-01,,b2c_moscow,,Returns amount,b2c_moscow,,,,,58120,58120,
inserted,2024-10-01,,b2c_spb,,Returns amount,b2c_spb,,,,,7200,7200,
inserted,2024-11-01,,b2c_spb,,Returns amount,b2c_spb,,,,,19200,19200,
inserted,2024-12-01,,b2c_spb,,Returns amount,b2c_spb,,,,,17000,17000,
inserted,2025-01-01,,b2c_spb,,Returns amount,b2c_spb,,,,,15200,15200,
inserted,2025-02-01,,b2c_spb,,Returns amount,b2c_spb,,,,,10831,10831,
inserted,2025-03-01,,b2c_spb,,Returns amount,b2c_spb,,,,,18000,18000,
inserted,2020-10-01,,b2b,,Revenue,b2b,,,,,412500,412500,
inserted,2020-11-01,,b2b,,Revenue,b2b,,,,,62985,62985,
inserted,2021-06-01,,b2b,,Revenue,b2b,,,,,135000,135000,
inserted,2021-08-01,,b2b,,Revenue,b2b,,,,,186100,186100,
inserted,2021-09-01,,b2b,,Revenue,b2b,,,,,32887,32887,
inserted,2021-10-01,,b2b,,Revenue,b2b,,,,,71000,71000,
inserted,2021-11-01,,b2b,,Revenue,b2b,,,,,90900,90900,
inserted,2021-12-01,,b2b,,Revenue,b2b,,,,,642163,642163,
inserted,2022-01-01,,b2b,,Revenue,b2b,,,,,0,0,
inserted,2022-02-01,,b2b,,Revenue,b2b,,,,,157200,157200,
inserted,2022-03-01,,b2b,,Revenue,b2b,,,,,122100,122100,
inserted,2022-04-01,,b2b,,Revenue,b2b,,,,,20720,20720,
inserted,2022-05-01,,b2b,,Revenue,b2b,,,,,12751,12751,
inserted,2022-06-01,,b2b,,Revenue,b2b,,,,,51000,51000,
inserted,2022-07-01,,b2b,,Revenue,b2b,,,,,33968,33968,
inserted,2022-08-01,,b2b,,Revenue,b2b,,,,,25476,25476,
inserted,2022-09-01,,b2b,,Revenue,b2b,,,,,98237,98237,
inserted,2022-11-01,,b2b,,Revenue,b2b,,,,,154850,154850,
inserted,2022-12-01,,b2b,,Revenue,b2b,,,,,125800,125800,
inserted,2023-03-01,,b2b,,Revenue,b2b,,,,,165000,165000,
inserted,2023-04-01,,b2b,,Revenue,b2b,,,,,1077825,1077825,
inserted,2023-05-01,,b2b,,Revenue,b2b,,,,,0,0,
inserted,2023-06-01,,b2b,,Revenue,b2b,,,,,170720,170720,
inserted,2023-07-01,,b2b,,Revenue,b2b,,,,,96800,96800,
inserted,2023-08-01,,b2b,,Revenue,b2b,,,,,50000,50000,
inserted,2023-09-01,,b2b,,Revenue,b2b,,,,,420600,420600,
inserted,2023-10-01,,b2b,,Revenue,b2b,,,,,1277000,1277000,
inserted,2023-11-01,,b2b,,Revenue,b2b,,,,,700000,700000,
inserted,2023-12-01,,b2b,,Revenue,b2b,,,,,780000,780000,
inserted,2024-03-01,,b2b,,Revenue,b2b,,,,,350000,350000,
inserted,2024-04-01,,b2b,,Revenue,b2b,,,,,44000,44000,
inserted,2024-05-01,,b2b,,Revenue,b2b,,,,,642000,642000,
inserted,2024-09-01,,b2b,,Revenue,b2b,,,,,400000,400000,
inserted,2024-11-01,,b2b,,Revenue,b2b,,,,,2305000,2305000,
inserted,2024-12-01,,b2b,,Revenue,b2b,,,,,11000000,11000000,
inserted,2025-01-01,,b2b,,Revenue,b2b,,,,,800000,800000,
inserted,2025-03-01,,b2b,,Revenue,b2b,,,,,3394308,3394308,
inserted,2023-02-01,,b2b,,Revenue,b2b,Online,,,,28600,28600,
inserted,2023-03-01,,b2b,,Revenue,b2b,Online,,,,0,0,
inserted,2023-04-01,,b2b,,Revenue,b2b,Online,,,,0,0,
inserted,2023-05-01,,b2b,,Revenue,b2b,Online,,,,0,0,
