sheet_unit,row_number,col_a,col_b,value,transfer_status,reason,target_metric_or_metrics,source_cell_a1,source_cell_url
b2c_moscow,81,САЙТ,"конверсия в билет из сеанса, %","3,5%",не перенесено,not_map_to_metric,,KZ81,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ81
b2c_moscow,83,САЙТ,визиты(immersivny),498,перенесено,,Website visits,KZ83,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ83
b2c_moscow,99,ОТЗЫВЫ,Кол-во новых на Яндекс-картах (всего),3,перенесено,,Number of new Yandex Maps reviews,KZ99,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ99
b2c_moscow,100,ОТЗЫВЫ,Из них настоящих,3,перенесено,,Number of genuine reviews,KZ100,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ100
b2c_moscow,101,ОТЗЫВЫ,Из них ненастоящих,0,перенесено,,Number of non-genuine reviews,KZ101,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ101
b2c_moscow,102,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (общая),"3,67",перенесено,,Average review rating weekly overall,KZ102,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ102
b2c_moscow,103,ОТЗЫВЫ,Средняя оценка по отзывам за неделю (по настоящим),"3,67",перенесено,,Average review rating weekly genuine,KZ103,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ103
b2c_moscow,104,ОТЗЫВЫ,Процент негативных (от посетивших),"0,38%",перенесено,,Share of negative reviews from visitors,KZ104,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ104
b2c_moscow,105,ОТЗЫВЫ,Ликвидировано негативных,0,перенесено,,Number of resolved negative reviews,KZ105,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ105
b2c_moscow,107,ОТЗЫВЫ,Средняя общая,"4,9",перенесено,,Average review rating overall,KZ107,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ107
b2c_moscow,109,ОЦЕНКИ НА ПЛАНШЕТЕ,Процент заполнивших от всех зрителей,"48,47%",не перенесено,not_map_to_metric,Quality - Internal,KZ109,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ109
b2c_moscow,110,ОЦЕНКИ НА ПЛАНШЕТЕ,Средняя оценка,"4,79",не перенесено,missing_staging_row,Quality - Internal,KZ110,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ110
b2c_moscow,111,ОЦЕНКИ НА ПЛАНШЕТЕ,Ответ Гиппократа,"4,76",не перенесено,missing_staging_row,Quality - Internal,KZ111,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ111
b2c_moscow,112,ОЦЕНКИ НА ПЛАНШЕТЕ,22’07,"4,64",не перенесено,missing_staging_row,Quality - Internal,KZ112,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ112
b2c_moscow,113,ОЦЕНКИ НА ПЛАНШЕТЕ,До свадьбы доживет,"4,90",не перенесено,missing_staging_row,Quality - Internal,KZ113,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ113
b2c_moscow,114,ОЦЕНКИ НА ПЛАНШЕТЕ,Загадка амулета,"5,00",не перенесено,missing_staging_row,Quality - Internal,KZ114,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ114
b2c_moscow,115,ОЦЕНКИ НА ПЛАНШЕТЕ,ВДОХ,"5,00",не перенесено,missing_staging_row,Quality - Internal,KZ115,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ115
b2c_moscow,116,ОЦЕНКИ НА ПЛАНШЕТЕ,Иное Место,"4,33",не перенесено,missing_staging_row,Quality - Internal,KZ116,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ116
b2c_moscow,117,ОЦЕНКИ НА ПЛАНШЕТЕ,Судный день,"4,88",не перенесено,missing_staging_row,Quality - Internal,KZ117,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ117
b2c_moscow,119,Откуда пришли,От друзей,"44,8%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ119,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ119
b2c_moscow,120,Откуда пришли,Наш сайт,"0,8%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ120,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ120
b2c_moscow,121,Откуда пришли,Яндекс Афиша,"20,8%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ121,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ121
b2c_moscow,124,Откуда пришли,Подарили сертификат,"5,6%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ124,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ124
b2c_moscow,125,Откуда пришли,Другое,"0,8%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ125,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ125
b2c_moscow,126,Откуда пришли,Афиша.ру (Т-банк),"1,6%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ126,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ126
b2c_moscow,127,Откуда пришли,Google поиск,"14,4%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ127,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ127
b2c_moscow,129,Откуда пришли,Яндекс реклама (РЕКЛАМА В ИНЕТЕ),"3,2%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ129,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ129
b2c_moscow,130,Откуда пришли,Instagram (СОЦ СЕТИ),"8,0%",не перенесено,missing_staging_row,Number of source-attribution responses,KZ130,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ130
b2c_moscow,146,ПРОТОКОЛ-БОТ,Процент заполненных протоколов ПОСЛЕ спектакля,94%,не перенесено,not_map_to_metric,Quality - Internal,KZ146,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ146
b2c_moscow,148,ПРОТОКОЛ-БОТ,Всего заполненных ОГ,19,не перенесено,not_map_to_metric,Quality - Internal,KZ148,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ148
