status,business_unit,period_start,canonical_metric,show_name,partner_name,channel_name,value_numeric,reason,rollup_source_system
inserted,b2c_spb,2025-09-01,Costs - Salary fixed,,,,278500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-10-01,Costs - Salary fixed,,,,165750,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-11-01,Costs - Salary fixed,,,,225692,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2025-12-01,Costs - Salary fixed,,,,226540,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-01-01,Costs - Salary fixed,,,,305992,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-02-01,Costs - Salary fixed,,,,320028,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-03-01,Costs - Salary fixed,,,,383807,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2c_spb,2026-04-01,Costs - Salary fixed,,,,381454,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2023-04-01,Costs - Salary fixed,,,,12000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2023-08-01,Costs - Salary fixed,,,,6000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2024-01-01,Costs - Salary fixed,,,,15000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2024-03-01,Costs - Salary fixed,,,,20000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2024-09-01,Costs - Salary fixed,,,,24000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2024-11-01,Costs - Salary fixed,,,,12000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2024-12-01,Costs - Salary fixed,,,,6000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,franchise,2025-06-01,Costs - Salary fixed,,,,6000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2025-08-01,Costs - Salary fixed,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2025-09-01,Costs - Salary fixed,,,,285000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2025-10-01,Costs - Salary fixed,,,,271950,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2025-11-01,Costs - Salary fixed,,,,285000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2025-12-01,Costs - Salary fixed,,,,285000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2026-01-01,Costs - Salary fixed,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2026-02-01,Costs - Salary fixed,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,general,2026-03-01,Costs - Salary fixed,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-02-01,Costs - Salary variable,Online,,,4800,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-02-01,Costs - Salary variable,SD,,,9750,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-03-01,Costs - Salary variable,SD,,,10500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-03-01,Costs - Salary variable,,,,73100,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-04-01,Costs - Salary variable,SD,,,20150,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-04-01,Costs - Salary variable,,,,363920,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-05-01,Costs - Salary variable,,,,0,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-06-01,Costs - Salary variable,SD,,,30650,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-06-01,Costs - Salary variable,,,,17900,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-07-01,Costs - Salary variable,,,,10700,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-08-01,Costs - Salary variable,SD,,,10250,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-08-01,Costs - Salary variable,,,,15900,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-09-01,Costs - Salary variable,,,,201000,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-10-01,Costs - Salary variable,,,,463500,direct_from_rollup_view,derived_leaf_only_rollup
inserted,b2b,2023-11-01,Costs - Salary variable,,,,270000,direct_from_rollup_view,derived_leaf_only_rollup
